"project","language","article","access","agent","granularity","date","views"
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-01,125
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-02,194
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-03,204
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-04,227
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-05,281
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-06,259
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-07,132
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-08,165
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-09,271
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-10,286
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-11,295
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-12,254
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-13,238
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-14,138
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-15,199
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-16,305
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-17,309
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-18,388
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-19,287
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-20,264
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-21,149
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-22,175
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-23,252
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-24,285
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-25,301
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-26,339
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-27,253
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-28,147
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-29,181
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-30,264
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-01-31,338
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-01,311
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-02,288
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-03,283
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-04,164
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-05,195
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-06,297
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-07,271
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-08,334
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-09,278
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-10,289
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-11,156
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-12,178
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-13,290
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-14,296
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-15,355
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-16,294
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-17,261
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-18,146
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-19,204
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-20,262
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-21,317
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-22,325
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-23,282
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-24,297
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-25,163
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-26,251
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-27,313
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-02-28,329
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-01,353
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-02,290
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-03,274
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-04,152
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-05,175
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-06,314
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-07,348
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-08,363
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-09,363
