arkive
African buffalo (Syncerus caffer)
African elephant (Loxodonta africana)
Alaotran gentle lemur (Hapalemur alaotrensis)
American bison (Bison bison)
Asian buffalo (Bubalus bubalis)
Asian elephant (Elephas maximus)
Barn owl (Tyto alba)
Beisa oryx (Oryx beisa)
Black-handed spider monkey (Ateles geoffroyi)
Blue wildebeest (Connochaetes taurinus)
Bobcat (Lynx rufus)
Boto (Inia geoffrensis)
Brown bear (Ursus arctos)
Brown noddy (Anous stolidus)
Brown skua (Stercorarius lonnbergi)
Buller's albatross (Thalassarche bulleri)
Capybara (Hydrochoerus hydrochaeris)
Chilean flamingo (Phoenicopterus chilensis)
Chinstrap penguin (Pygoscelis antarcticus)
Christmas Island red crab (Gecarcoidea natalis)
Common pigeon (Columba livia)
Common white tern (Gygis alba)
Coyote (Canis latrans)
European starling (Sturnus vulgaris)
Fairy tern (Sterna nereis)
Galapagos marine iguana (Amblyrhynchus cristatus)
Giant anteater (Myrmecophaga tridactyla)
Giant otter (Pteronura brasiliensis)
Giraffe (Giraffa camelopardalis)
Golden eagle (Aquila chrysaetos)
Goldeneye (Bucephala clangula)
Grey wolf (Canis lupus)
Harvest mouse (Micromys minutus)
Hawksbill turtle (Eretmochelys imbricata)
Hemprich’s long-eared bat (Otonycteris hemprichii)
Indian rhinoceros (Rhinoceros unicornis)
Indri (Indri indri)
Jackson’s widowbird (Euplectes jacksoni)
Jaguar (Panthera onca)
Komodo dragon (Varanus komodoensis)
Kori bustard (Ardeotis kori)
Leopard (Panthera pardus)
Lion (Panthera leo)
Loggerhead shrike (Lanius ludovicianus)
Magnetic termite (Amitermes meridionalis)
Namaqua chameleon (Chamaeleo namaquensis)
Northern raccoon (Procyon lotor)
Nubian ibex (Capra nubiana)
Ostrich (Struthio camelus)
Peregrine falcon (Falco peregrinus)
Plains zebra (Equus quagga)
Pygmy three-toed sloth (Bradypus pygmaeus)
Red bird-of-paradise (Paradisaea rubra)
Red fox (Vulpes vulpes)
Reindeer (Rangifer tarandus)
Rhesus macaque (Macaca mulatta)
Ring-tailed lemur (Lemur catta)
Saiga antelope (Saiga tatarica)
Serval (Leptailurus serval)
Seychelles fody (Foudia sechellarum)
Sloth bear (Melursus ursinus)
Smooth-coated otter (Lutrogale perspicillata)
Snares crested penguin (Eudyptes robustus)
Snow leopard (Panthera uncia)
Sooty shearwater (Puffinus griseus)
Southern carmine bee-eater (Merops nubicoides)
Southern plains gray langur (Semnopithecus dussumieri)
Southern viscacha (Lagidium viscacia)
Spotted hyaena (Crocuta crocuta)
Sword-billed hummingbird (Ensifera ensifera)
Tiger (Panthera tigris)
Verreaux's sifaka (Propithecus verreauxi)
Wilson’s bird-of-paradise (Cicinnurus respublica)
Yacare caiman (Caiman yacare)
