species,day,page views
African buffalo (Syncerus caffer),01/01/2016,375.00
African buffalo (Syncerus caffer),02/01/2016,340.00
African buffalo (Syncerus caffer),03/01/2016,440.00
African buffalo (Syncerus caffer),04/01/2016,209.00
African buffalo (Syncerus caffer),05/01/2016,143.00
African buffalo (Syncerus caffer),06/01/2016,228.00
African buffalo (Syncerus caffer),07/01/2016,665.00
African buffalo (Syncerus caffer),08/01/2016,498.00
African buffalo (Syncerus caffer),09/01/2016,169.00
African buffalo (Syncerus caffer),10/01/2016,130.00
African buffalo (Syncerus caffer),11/01/2016,121.00
African buffalo (Syncerus caffer),12/01/2016,244.00
African buffalo (Syncerus caffer),13/01/2016,248.00
African buffalo (Syncerus caffer),14/01/2016,114.00
African buffalo (Syncerus caffer),15/01/2016,353.00
African buffalo (Syncerus caffer),16/01/2016,149.00
African buffalo (Syncerus caffer),17/01/2016,207.00
African buffalo (Syncerus caffer),18/01/2016,346.00
African buffalo (Syncerus caffer),19/01/2016,308.00
African buffalo (Syncerus caffer),20/01/2016,166.00
African buffalo (Syncerus caffer),21/01/2016,351.00
African buffalo (Syncerus caffer),22/01/2016,267.00
African buffalo (Syncerus caffer),23/01/2016,312.00
African buffalo (Syncerus caffer),24/01/2016,263.00
African buffalo (Syncerus caffer),25/01/2016,177.00
African buffalo (Syncerus caffer),26/01/2016,280.00
African buffalo (Syncerus caffer),27/01/2016,226.00
African buffalo (Syncerus caffer),28/01/2016,310.00
African buffalo (Syncerus caffer),29/01/2016,292.00
African buffalo (Syncerus caffer),30/01/2016,195.00
African buffalo (Syncerus caffer),31/01/2016,289.00
African buffalo (Syncerus caffer),01/02/2016,515.00
African buffalo (Syncerus caffer),02/02/2016,278.00
African buffalo (Syncerus caffer),03/02/2016,237.00
African buffalo (Syncerus caffer),04/02/2016,390.00
African buffalo (Syncerus caffer),05/02/2016,129.00
African buffalo (Syncerus caffer),06/02/2016,186.00
African buffalo (Syncerus caffer),07/02/2016,227.00
African buffalo (Syncerus caffer),08/02/2016,249.00
African buffalo (Syncerus caffer),09/02/2016,360.00
African buffalo (Syncerus caffer),10/02/2016,642.00
African buffalo (Syncerus caffer),11/02/2016,579.00
African buffalo (Syncerus caffer),12/02/2016,181.00
African buffalo (Syncerus caffer),13/02/2016,176.00
African buffalo (Syncerus caffer),14/02/2016,102.00
African buffalo (Syncerus caffer),15/02/2016,144.00
African buffalo (Syncerus caffer),16/02/2016,371.00
African buffalo (Syncerus caffer),17/02/2016,171.00
African buffalo (Syncerus caffer),18/02/2016,214.00
African buffalo (Syncerus caffer),19/02/2016,119.00
African buffalo (Syncerus caffer),20/02/2016,195.00
African buffalo (Syncerus caffer),21/02/2016,55.00
African buffalo (Syncerus caffer),22/02/2016,360.00
African buffalo (Syncerus caffer),23/02/2016,279.00
African buffalo (Syncerus caffer),24/02/2016,212.00
African buffalo (Syncerus caffer),25/02/2016,207.00
African buffalo (Syncerus caffer),26/02/2016,565.00
African buffalo (Syncerus caffer),27/02/2016,259.00
African buffalo (Syncerus caffer),28/02/2016,172.00
African buffalo (Syncerus caffer),29/02/2016,132.00
