accuracy,mul,seco,diaries,taxa,status,wiki,baseline,anomaly,mobile
1,1,198,0,mammal,cr,Pygmy three-toed sloth,42,1,0
1,1,290,0,reptile,vu,Komodo dragon,2202,1,2
1,1,13,0,mammal,cr,Indri,47,0,1
1,1,9,0,mammal,en,Ring-tailed lemur,195,0,0
2,1,9,0,mammal,cr,Bamboo lemur,11,1,2
2,1,181,0,mammal,en,Sifaka,44,0,0
1,1,484,0,reptile,vu,Marine iguana,186,0,1
3,1,20,0,inverteb,NA,Crab,798,0,2
3,1,30,0,reptile,NA,Lizard,790,0,2
2,1,292,0,reptile,NA,Colubridae,86,1,2
1,1,60,0,bird,vu,Snares penguin,10,1,1
2,1,20,0,bird,nt,Shearwater,38,1,0
1,1,215,0,bird,nt,Buller's albatross,4,1,1
4,1,277,0,bird,lc,Fairy tern,7,1,2
2,1,193,0,bird,lc,Noddy (tern),6,1,2
1,1,49,0,bird,nt,Seychelles fody,1,1,0
2,1,198,0,inverteb,NA,Christmas Island red crab,91,1,0
2,1,98,0,inverteb,a,Yellow crazy ant,68,1,2
1,2,937,1,bird,lc,Chinstrap penguin,53,1,0
2,1,27,1,bird,lc,Skua,109,0,0
1,2,574,0,mammal,en,Snow Leopard,46,1,0
1,1,374,0,mammal,vu,Nubian ibex,39,1,0
1,1,196,0,mammal,lc,Red fox,924,0,0
1,2,824,1,bird,lc,Golden eagle,876,1,1
1,1,417,0,mammal,lc,Grizzly bear,1356,1,2
2,1,6,0,mammal,lc,Marmot,595,0,2
1,1,360,0,mammal,lc,Bobcat,1449,1,0
3,1,13,0,mammal,NA,Mouse,555,0,0
1,1,24,0,mammal,lc,Coyote,1945,0,0
1,1,26,0,bird,lc,Goldeneye (duck),17,1,2
2,1,47,0,mammal,NA,Squirrel,923,0,0
1,1,158,0,mammal,lc,Lagidium,5,1,2
2,1,263,0,bird,nt,Flamingo,797,1,1
1,2,218,0,mammal,cr,Indri,47,1,2
2,1,308,0,mammal,en,Spider monkey,305,1,2
2,1,180,0,reptile,NA,Draco (genus),53,1,0
1,1,166,0,bird,lc,Sword-billed hummingbird,12,1,2
2,2,552,1,mammal,data de,River dolphin,135,1,2
1,1,418,0,mammal,lc,Capybara,1524,0,2
1,1,9,0,mammal,en,Giant otter,221,1,2
2,1,418,0,reptile,lc,Caiman,583,1,2
1,1,342,0,mammal,nt,Jaguar,2034,1,1
