Day Index,Product Revenue,standardised
01/01/2016,273.00,0.374455304
02/01/2016,38.00,-0.340836983
03/01/2016,114.00,-0.109508413
04/01/2016,193.00,0.130951547
05/01/2016,92.00,-0.176471946
06/01/2016,98.00,-0.158209165
07/01/2016,150.00,6.82775E-05
08/01/2016,160.00,0.030506247
09/01/2016,303.00,0.465769213
10/01/2016,105.00,-0.136902586
11/01/2016,0.00,-0.456501267
12/01/2016,63.08,-0.264498555
13/01/2016,0.00,-0.456501267
14/01/2016,52.00,-0.298223825
15/01/2016,175.00,0.076163202
16/01/2016,60.00,-0.273873449
17/01/2016,185.00,0.106601171
18/01/2016,325.00,0.532732746
19/01/2016,310.00,0.487075792
20/01/2016,111.50,-0.117117906
21/01/2016,20.00,-0.395625328
22/01/2016,346.00,0.596652483
23/01/2016,162.00,0.036593841
24/01/2016,10.50,-0.424541399
25/01/2016,100.00,-0.152121571
26/01/2016,30.00,-0.365187358
27/01/2016,35.00,-0.349968374
28/01/2016,90.00,-0.18255954
29/01/2016,140.00,-0.030369692
30/01/2016,15.00,-0.410844313
31/01/2016,42.00,-0.328661795
01/02/2016,0.00,-0.456501267
02/02/2016,126.00,-0.07298285
03/02/2016,10.00,-0.426063298
04/02/2016,823.00,2.048543635
05/02/2016,50.00,-0.304311419
06/02/2016,20.00,-0.395625328
07/02/2016,0.00,-0.456501267
08/02/2016,85.00,-0.197778525
09/02/2016,120.00,-0.091245631
10/02/2016,32.50,-0.357577866
11/02/2016,0.00,-0.456501267
12/02/2016,0.00,-0.456501267
13/02/2016,68.00,-0.249523074
14/02/2016,25.00,-0.380406343
15/02/2016,651.00,1.525010557
16/02/2016,26.00,-0.377362546
17/02/2016,10.00,-0.426063298
18/02/2016,40.00,-0.334749389
19/02/2016,1555.00,4.276603014
20/02/2016,86.00,-0.194734728
21/02/2016,0.00,-0.456501267
22/02/2016,275.00,0.380542898
23/02/2016,20.00,-0.395625328
24/02/2016,30.00,-0.365187358
25/02/2016,10.00,-0.426063298
26/02/2016,154.00,0.012243465
27/02/2016,463.00,0.952776728
28/02/2016,5.35,-0.440216954
29/02/2016,50.00,-0.304311419
01/03/2016,0.00,-0.456501267
02/03/2016,120.00,-0.091245631
03/03/2016,500.00,1.065397215
04/03/2016,130.00,-0.060807662
05/03/2016,17.00,-0.404756719
06/03/2016,0.00,-0.456501267
07/03/2016,100.00,-0.152121571
08/03/2016,485.00,1.019740261
09/03/2016,150.60,0.001894556
10/03/2016,10.00,-0.426063298
11/03/2016,24.00,-0.38345014
12/03/2016,35.00,-0.349968374
13/03/2016,0.00,-0.456501267
14/03/2016,508.34,1.090782482
15/03/2016,330.00,0.547951731
16/03/2016,156.00,0.018331059
17/03/2016,110.00,-0.121683601
18/03/2016,10.00,-0.426063298
19/03/2016,228.00,0.237484441
20/03/2016,373.00,0.678835001
21/03/2016,0.00,-0.456501267
22/03/2016,62.00,-0.267785855
23/03/2016,70.00,-0.24343548
24/03/2016,27.00,-0.374318749
25/03/2016,200.00,0.152258126
26/03/2016,60.00,-0.273873449
27/03/2016,24.00,-0.38345014
28/03/2016,0.00,-0.456501267
29/03/2016,0.00,-0.456501267
30/03/2016,10.00,-0.426063298
31/03/2016,0.00,-0.456501267
01/04/2016,30.00,-0.365187358
02/04/2016,0.00,-0.456501267
03/04/2016,60.00,-0.273873449
04/04/2016,50.74,-0.302059009
05/04/2016,75.00,-0.228216495
06/04/2016,124.53,-0.077457231
07/04/2016,250.00,0.304447974
08/04/2016,575.00,1.293681988
09/04/2016,0.00,-0.456501267
10/04/2016,0.00,-0.456501267
11/04/2016,90.00,-0.18255954
12/04/2016,60.00,-0.273873449
13/04/2016,130.00,-0.060807662
14/04/2016,100.00,-0.152121571
15/04/2016,0.00,-0.456501267
16/04/2016,43.93,-0.322787267
17/04/2016,184.00,0.103557374
18/04/2016,145.00,-0.015150707
19/04/2016,105.00,-0.136902586
20/04/2016,0.00,-0.456501267
21/04/2016,489.75,1.034198297
22/04/2016,0.00,-0.456501267
23/04/2016,115.00,-0.106464616
24/04/2016,382.00,0.706229174
25/04/2016,0.00,-0.456501267
26/04/2016,100.00,-0.152121571
27/04/2016,40.00,-0.334749389
28/04/2016,60.00,-0.273873449
29/04/2016,12.00,-0.419975704
30/04/2016,0.00,-0.456501267
01/05/2016,27.00,-0.374318749
02/05/2016,40.00,-0.334749389
03/05/2016,590.00,1.339338942
04/05/2016,101.00,-0.149077774
05/05/2016,922.00,2.349879535
06/05/2016,360.00,0.63926564
07/05/2016,0.00,-0.456501267
08/05/2016,10.00,-0.426063298
09/05/2016,30.00,-0.365187358
10/05/2016,0.00,-0.456501267
11/05/2016,6.00,-0.438238486
12/05/2016,110.00,-0.121683601
13/05/2016,0.00,-0.456501267
14/05/2016,250.00,0.304447974
15/05/2016,30.00,-0.365187358
16/05/2016,181.00,0.094425983
17/05/2016,620.00,1.430652851
18/05/2016,20.00,-0.395625328
19/05/2016,55.00,-0.289092434
20/05/2016,120.00,-0.091245631
21/05/2016,100.00,-0.152121571
22/05/2016,90.00,-0.18255954
23/05/2016,150.00,6.82775E-05
24/05/2016,35.00,-0.349968374
25/05/2016,270.00,0.365323913
26/05/2016,154.00,0.012243465
27/05/2016,85.00,-0.197778525
28/05/2016,115.00,-0.106464616
29/05/2016,65.00,-0.258654465
30/05/2016,125.00,-0.076026647
31/05/2016,235.00,0.25879102
01/06/2016,832.00,2.075937808
02/06/2016,95.00,-0.167340556
03/06/2016,233.00,0.252703426
04/06/2016,0.00,-0.456501267
05/06/2016,37.00,-0.34388078
06/06/2016,20.00,-0.395625328
07/06/2016,600.00,1.369776912
08/06/2016,10.00,-0.426063298
09/06/2016,0.00,-0.456501267
10/06/2016,46.00,-0.316486607
11/06/2016,81.00,-0.209953713
12/06/2016,126.00,-0.07298285
13/06/2016,0.00,-0.456501267
14/06/2016,45.00,-0.319530404
15/06/2016,40.00,-0.334749389
16/06/2016,120.00,-0.091245631
17/06/2016,20.00,-0.395625328
