accuracy_(1_high;_2_name_covers_several_sp_eg_sifaka_or_skua;_3_very_generic_eg_mouse_or_crab;_4_confusion_name),episode,date,viewers_(citation:_BARB),multiple,first,last,seconds,diaries,location,taxa,taxa_aves,status,status2,twitter,tweet_count,max_wiki_hit,wiki,baseline_mobile_median,baseline_mobile_mean,wiki_diff_mean,wiki_diff_median,mobile_anomaly_1%,mobile_anomaly_2%,desktop_anomaly_1%,desktop_anomaly_2%,arkive_supplied_data?,arkive,arkive_comments,wiki_other_IMPROVE,popularity,notes
2,1,06/11/16,12.2564,1,14,14,9,0,Madagascar,primates,na,cr,5,na,na,199,Bamboo lemur,10,11,188,189,2,2,1,1,1,Alaotran gentle lemur (Hapalemur alaotrensis),,Lac Alaotra bamboo lemur,,
1,1,06/11/16,12.2564,1,29,32,215,0,New Zealand subantarctic,aves,procellariiformes,nt,2,albatross,128,259,Buller's albatross,3,4,255,256,2,2,2,2,1,Buller's albatross (Thalassarche bulleri),,Albatross,,
1,1,06/11/16,12.2564,2,42,58,937,yes,Zavodovski island,aves,sphenisciformes,lc,1,na,na,1497,Chinstrap penguin,48,53,1444,1449,2,2,2,2,1,Chinstrap penguin (Pygoscelis antarcticus),,Penguin,,
2,1,06/11/16,12.2564,1,38,41,198,0,christmas island,malacostraca,na,na,na,na,na,583,Christmas Island red crab,74,91,492,509,1,2,0,1,,Christmas Island red crab (Gecarcoidea natalis),,Crab,,
2,1,06/11/16,12.2564,1,22,26,292,0,Galapagos,reptilia,na,na,na,snake,1164,393,Colubridae,79,86,307,314,1,2,1,1,1,na,,"Snake, Galapagos racer",,
3,1,06/11/16,12.2564,1,20,20,20,0,Galapagos,malacostraca,na,na,na,na,na,919,Crab,783,798,121,136,0,0,0,0,,na,,,,
4,1,06/11/16,12.2564,1,33,37,277,0,Seychelles,aves,charadriformes,lc,1,fairy,2,128,Fairy tern,6,7,121,122,2,2,1,2,1,Fairy tern (Sterna nereis),actual sp: Common white tern (Gygis alba),"White tern, Tern",,
1,1,06/11/16,12.2564,1,14,14,13,0,Madagascar,primates,na,cr,5,na,na,132,Indri,39,47,85,93,0,0,0,0,1,Indri (Indri indri),,,,
1,1,06/11/16,12.2564,1,7,12,290,0,Komodo Isl,reptilia,na,vu,3,dragon,59,9874,Komodo dragon,1898,2202,7672,7976,1,2,1,2,1,Komodo dragon (Varanus komodoensis),,,,
na,1,06/11/16,12.2564,1,13,14,55,0,Madagascar,primates,na,na,na,na,na,1746,Lemur,749,807,939,997,0,0,0,0,,na,,,,
3,1,06/11/16,12.2564,1,20,21,30,0,Galapagos,reptilia,na,na,na,na,na,2094,Lizard,763,790,1304,1331,0,0,0,0,,na,,,,
1,1,06/11/16,12.2564,1,19,27,484,0,Galapagos,reptilia,na,vu,3,iguana,872,1314,Marine iguana,112,186,1128,1202,0,0,0,1,1,Galapagos marine iguana (Amblyrhynchus cristatus),,Iguana,,
na,1,06/11/16,12.2564,1,35,37,122,0,Seychelles,plant,na,na,na,na,na,,na,,NA,#VALUE!,0,NA,NA,NA,NA,,na,,Pisonia grandis,,
2,1,06/11/16,12.2564,1,34,37,193,0,Seychelles,aves,charadriformes,lc,1,noddy,0,18,Noddy (tern),2,6,12,16,0,1,0,0,1,Brown noddy (Anous stolidus),,Tern,,
1,1,06/11/16,12.2564,1,3,7,198,0,panama,pilosa,na,cr,5,sloth,122,1104,Pygmy three-toed sloth,37,42,1062,1067,2,2,1,2,1,Pygmy three-toed sloth (Bradypus pygmaeus),,Sloth,,
1,1,06/11/16,12.2564,1,14,14,9,0,Madagascar,primates,na,en,4,na,na,262,Ring-tailed lemur,180,195,67,82,0,0,0,0,1,Ring-tailed lemur (Lemur catta),,,,
1,1,06/11/16,12.2564,1,34,35,49,0,Seychelles,aves,passeriformes,nt,2,fody,0,20,Seychelles fody,1,1,19,19,2,2,0,1,1,Seychelles fody (Foudia sechellarum),,Fody,,
2,1,06/11/16,12.2564,1,28,28,20,0,New Zealand subantarctic,aves,procellariiformes,nt,2,shearwater,3,215,Shearwater,35,38,177,180,1,2,0,0,1,Sooty shearwater (Puffinus griseus),,Sooty shearwater,,
2,1,06/11/16,12.2564,1,13,16,181,0,Madagascar,primates,na,en,4,na,na,90,Sifaka,37,44,46,53,0,0,0,0,1,Verreaux's sifaka (Propithecus verreauxi),,Verreaux's sifaka,,
2,1,06/11/16,12.2564,1,44,45,27,yes,Zavodovski island,aves,charadriformes,lc,1,skua,1,240,Skua,94,109,131,146,0,0,0,0,1,Brown skua (Stercorarius lonnbergi),,Brown skua,,
1,1,06/11/16,12.2564,1,28,29,60,0,New Zealand subantarctic,aves,sphenisciformes,vu,3,na,na,151,Snares penguin,8,10,141,143,1,2,1,1,1,Snares crested penguin (Eudyptes robustus),,Penguin,,
2,1,06/11/16,12.2564,1,40,41,98,0,christmas island,insecta,na,na,na,crazy ant,9,765,Yellow crazy ant,61,68,697,704,2,2,1,2,,na,,Ant,,
1,2,13/11/16,13.1425,1,23,29,360,0,Rockies,carnivora,na,lc,1,bobcat,547,7757,Bobcat,1404,1449,6308,6353,2,2,0,1,1,Bobcat (Lynx rufus),,,,
na,2,13/11/16,13.1425,1,10,12,116,0,Alps,aves,passeriformes,na,na,crow,6,200,Corvidae,185,200,0,15,0,0,0,0,,na,,,,
1,2,13/11/16,13.1425,1,27,27,24,0,Rockies,carnivora,na,lc,1,coyote,5,2938,Coyote,1931,1945,993,1007,0,0,0,0,,Coyote (Canis latrans),,,,
