"project","language","article","access","agent","granularity","date","views"
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-01,45
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-02,59
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-03,63
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-04,116
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-05,106
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-06,128
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-07,130
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-08,127
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-09,80
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-10,78
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-11,144
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-12,127
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-13,121
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-14,114
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-15,110
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-16,53
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-17,86
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-18,92
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-19,119
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-20,130
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-21,107
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-22,119
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-23,70
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-24,106
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-25,130
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-26,120
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-27,130
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-28,123
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-29,99
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-30,53
"wikipedia","en","Threatened_species","desktop","user","daily",2016-01-31,96
"wikipedia","en","Threatened_species","desktop","user","daily",2016-02-01,124
"wikipedia","en","Threatened_species","desktop","user","daily",2016-02-02,144
"wikipedia","en","Threatened_species","desktop","user","daily",2016-02-03,137
"wikipedia","en","Threatened_species","desktop","user","daily",2016-02-04,128
"wikipedia","en","Threatened_species","desktop","user","daily",2016-02-05,112
"wikipedia","en","Threatened_species","desktop","user","daily",2016-02-06,69
"wikipedia","en","Threatened_species","desktop","user","daily",2016-02-07,78
