project,language,article,access,agent,granularity,date,views
wikipedia,en,African_elephant,desktop,user,daily,01/01/2017,285
wikipedia,en,African_elephant,desktop,user,daily,02/01/2017,361
wikipedia,en,African_elephant,desktop,user,daily,03/01/2017,466
wikipedia,en,African_elephant,desktop,user,daily,04/01/2017,478
wikipedia,en,African_elephant,desktop,user,daily,05/01/2017,529
wikipedia,en,African_elephant,desktop,user,daily,06/01/2017,489
wikipedia,en,African_elephant,desktop,user,daily,07/01/2017,323
wikipedia,en,African_elephant,desktop,user,daily,08/01/2017,376
wikipedia,en,African_elephant,desktop,user,daily,09/01/2017,533
wikipedia,en,African_elephant,desktop,user,daily,10/01/2017,600
wikipedia,en,African_elephant,desktop,user,daily,11/01/2017,601
wikipedia,en,African_elephant,desktop,user,daily,12/01/2017,686
wikipedia,en,African_elephant,desktop,user,daily,13/01/2017,588
wikipedia,en,African_elephant,desktop,user,daily,14/01/2017,317
wikipedia,en,African_elephant,desktop,user,daily,15/01/2017,395
wikipedia,en,African_elephant,desktop,user,daily,16/01/2017,529
wikipedia,en,African_elephant,desktop,user,daily,17/01/2017,654
wikipedia,en,African_elephant,desktop,user,daily,18/01/2017,692
wikipedia,en,African_elephant,desktop,user,daily,19/01/2017,619
wikipedia,en,African_elephant,desktop,user,daily,20/01/2017,570
wikipedia,en,African_elephant,desktop,user,daily,21/01/2017,330
wikipedia,en,African_elephant,desktop,user,daily,22/01/2017,397
wikipedia,en,African_elephant,desktop,user,daily,23/01/2017,615
wikipedia,en,African_elephant,desktop,user,daily,24/01/2017,687
wikipedia,en,African_elephant,desktop,user,daily,25/01/2017,606
wikipedia,en,African_elephant,desktop,user,daily,26/01/2017,597
wikipedia,en,African_elephant,desktop,user,daily,27/01/2017,523
wikipedia,en,African_elephant,desktop,user,daily,28/01/2017,320
wikipedia,en,African_elephant,desktop,user,daily,29/01/2017,404
wikipedia,en,African_elephant,desktop,user,daily,30/01/2017,554
wikipedia,en,African_elephant,desktop,user,daily,31/01/2017,660
wikipedia,en,African_elephant,desktop,user,daily,01/02/2017,585
wikipedia,en,African_elephant,desktop,user,daily,02/02/2017,629
wikipedia,en,African_elephant,desktop,user,daily,03/02/2017,567
wikipedia,en,African_elephant,desktop,user,daily,04/02/2017,321
wikipedia,en,African_elephant,desktop,user,daily,05/02/2017,379
wikipedia,en,African_elephant,desktop,user,daily,06/02/2017,587
wikipedia,en,African_elephant,desktop,user,daily,07/02/2017,654
wikipedia,en,African_elephant,desktop,user,daily,08/02/2017,625
wikipedia,en,African_elephant,desktop,user,daily,09/02/2017,629
wikipedia,en,African_elephant,desktop,user,daily,10/02/2017,600
wikipedia,en,African_elephant,desktop,user,daily,11/02/2017,378
wikipedia,en,African_elephant,desktop,user,daily,12/02/2017,440
wikipedia,en,African_elephant,desktop,user,daily,13/02/2017,649
wikipedia,en,African_elephant,desktop,user,daily,14/02/2017,605
wikipedia,en,African_elephant,desktop,user,daily,15/02/2017,1329
wikipedia,en,African_elephant,desktop,user,daily,16/02/2017,934
wikipedia,en,African_elephant,desktop,user,daily,17/02/2017,663
wikipedia,en,African_elephant,desktop,user,daily,18/02/2017,434
wikipedia,en,African_elephant,desktop,user,daily,19/02/2017,428
wikipedia,en,African_elephant,desktop,user,daily,20/02/2017,617
wikipedia,en,African_elephant,desktop,user,daily,21/02/2017,719
wikipedia,en,African_elephant,desktop,user,daily,22/02/2017,706
wikipedia,en,African_elephant,desktop,user,daily,23/02/2017,630
wikipedia,en,African_elephant,desktop,user,daily,24/02/2017,517
wikipedia,en,African_elephant,desktop,user,daily,25/02/2017,355
wikipedia,en,African_elephant,desktop,user,daily,26/02/2017,451
wikipedia,en,African_elephant,desktop,user,daily,27/02/2017,594
wikipedia,en,African_elephant,desktop,user,daily,28/02/2017,711
wikipedia,en,African_elephant,desktop,user,daily,01/03/2017,700
wikipedia,en,African_elephant,desktop,user,daily,02/03/2017,611
wikipedia,en,African_elephant,desktop,user,daily,03/03/2017,657
wikipedia,en,African_elephant,desktop,user,daily,04/03/2017,412
wikipedia,en,African_elephant,desktop,user,daily,05/03/2017,457
wikipedia,en,African_elephant,desktop,user,daily,06/03/2017,779
wikipedia,en,African_elephant,desktop,user,daily,07/03/2017,850
wikipedia,en,African_elephant,desktop,user,daily,08/03/2017,733
wikipedia,en,African_elephant,desktop,user,daily,09/03/2017,733
wikipedia,en,African_elephant,desktop,user,daily,10/03/2017,619
wikipedia,en,African_elephant,desktop,user,daily,11/03/2017,342
wikipedia,en,African_elephant,desktop,user,daily,12/03/2017,377
wikipedia,en,African_elephant,desktop,user,daily,13/03/2017,619
wikipedia,en,African_elephant,desktop,user,daily,14/03/2017,596
