accuracy,mul,seco,diaries,taxa,status,wiki,mobile anomaly 1%,mobile anomaly 2%,desktop anomaly 1%,desktop anomaly 2%,anomaly
2,1,255,0,mammal,lc,African buffalo,0,0,0,0,0
1,1,65,0,inverteb,na,Amitermes meridionalis,2,2,2,2,1
1,1,206,0,mammal,lc,Arctic wolf,1,1,0,0,1
2,1,130,0,inverteb,na,Atta (genus),0,0,0,0,0
2,1,9,0,mammal,cr,Bamboo lemur,2,2,1,1,1
1,1,53,0,bird,lc,Barn owl,0,0,0,0,0
2,1,293,0,mammal,nt,Bison,0,1,0,0,1
1,1,360,0,mammal,lc,Bobcat,2,2,0,1,1
1,1,215,0,bird,nt,Buller's albatross,2,2,2,2,1
4,1,106,0,bird,lc,Butcherbird,2,2,2,2,1
2,1,418,0,reptile,lc,Caiman,0,1,0,1,1
1,1,418,0,mammal,lc,Capybara,0,0,0,0,0
1,1,270,0,mammal,vu,Caribou,1,1,1,1,1
1,2,937,1,bird,lc,Chinstrap penguin,2,2,2,2,1
2,1,198,0,inverteb,na,Christmas Island red crab,1,2,0,1,1
2,1,72,0,inverteb,na,Click beetle,0,0,0,0,0
1,2,607,1,mammal,lc,Colobinae,0,0,0,0,0
2,1,292,0,reptile,na,Colubridae,1,2,1,1,1
na,1,116,0,bird,na,Corvidae,0,0,0,0,0
1,1,24,0,mammal,lc,Coyote,0,0,0,0,0
3,1,20,0,inverteb,na,Crab,0,0,0,0,0
3,1,36,0,inverteb,na,Crab,0,0,0,0,0
2,1,217,0,inverteb,na,Darkling beetle,0,0,0,0,0
1,1,140,0,inverteb,na,Deathstalker,0,1,0,0,1
1,1,185,0,mammal,lc,Desert long-eared bat,2,2,2,2,1
2,1,180,0,reptile,na,Draco (genus),1,2,0,2,1
2,1,132,0,mammal,vu,Elephant,0,0,0,0,0
2,1,193,0,mammal,vu,Elephant,0,0,0,0,0
2,1,515,1,mammal,en,Elephant,0,0,0,0,0
4,1,277,0,bird,lc,Fairy tern,2,2,1,2,1
2,1,12,1,inverteb,na,Fire ant,0,0,0,0,0
2,1,263,0,bird,nt,Flamingo,1,2,0,1,1
2,1,194,0,mammal,lc,Fox,1,1,0,0,1
1,1,117,0,mammal,vu,Giant anteater,1,2,0,0,1
1,1,9,0,mammal,en,Giant otter,2,2,1,1,1
1,1,172,0,mammal,vu,Giraffe,0,0,0,0,0
2,1,328,0,amphibi,lc,Glass frog,0,2,0,0,1
1,2,824,1,bird,lc,Golden eagle,2,2,0,0,1
2,1,153,0,mammal,nt,Golden mole,2,2,2,2,1
