broadcast,id,user,content
1.1,15,Sarah Richards @SarahJRichards,If I'm not in tears by the end it will be a miracle. Hoppipola still makes me weep from the last time! #planetearth2
1.1,26,John Davies @J_C_Davies,"Missus turns to me ""those birds with the weird faces look like mobsters of the bird world"" ?????? #planetearth2"
1.1,37,Abby Armstrong @medievalabby,run iguana! #planetearth2 I hate these programmes they get you attached to an animal then they make you watch it die! #damnyouattenborough
1.1,48,Jo.An.Ay? @JoJoMicallef,Im so bloody happy and will sleep easy because a baby lizard just outran a bunch of snakes #planetearth2
1.1,59,Sam Pearson @smprsn,Racer snakes haunting the nation's dreams tonight. #PlanetEarth2
1.1,70,Guy Pedliham @guypeds,Lily is totally fascinated by #planetearth2  #dogs #beagle
1.1,81,Laura Smith @lauramsmith,Computer graphics are so good now that the animals on #planetearth2 don't look real.
1.1,92,Georgeeeey @georgettt7,I feel sorry for all the people mixing live on fb right now!! Clearly not watching #planetearth2
1.1,103,Freckled Fate @Trishie_D,The albatross and the rockhopper having a morning chat though #planetearth2
1.1,114,Az @EastLondonAz,And back to shagging #PlanetEarth2
1.1,125,Neil Franky Mac @nelly83mac,That was tense! That snake chase! Who knew snakes could move that fast! Fuck that #PlanetEarth2
1.1,136,Kevin Head @EvilAwkeye,These albatross look like cgi #planetearth2
1.1,147,Matt Harries @matt_harries,Bastard snakes!!! #planetearth2
1.1,158,Matt Ramsay @MRamsay89,Actually cheering on an iguana to get away from the snakes! Lol! #planetearth2
1.1,169,Adam Turkington @AdamTurks,Uppa Marine Iguanas on #planetearth2. That was proper amazing
1.1,180,Maila Kameez @Maila_Kameez,Who knew watching iguanas run would be so exciting #planetearth2
1.1,191,innocent drinks @innocent,Suddenly gripped with the intense fear that snakes are everywhere #PlanetEarth2
1.1,202,dell @dellykupo,Never had so many emotions going on while watching a show before #planetearth2
1.1,213,Steve @QPRSteve1982,#PlanetEarth2 is amazing.
1.1,236,Lauren @lrnangel,Hows it going pingu?! ?? #planetearth2
1.1,273,Parkour Jay @afrojay,I'm just expecting the snakes to just roll up in every scene now #planetearth2 #thugsnakes
1.1,284,Stuart Bell @betsenbell,#snakevslizard on #planetearth2  was the best piece of tele I've watched in a long time. It was some scary shit.
1.1,295,Will O'Donnell @wgvod,Someone give that boy a cookie  #planetearth2
1.1,306,BOT39472 @flazygirl,Omg ???? what sort of mother lays her eggs in a ?????? den?! #planetearth2
1.1,331,Emily Mahoney @emilymahoney_91,6 months apart! ?? now this is a love story!  #planetearth2
1.1,342,Hayley Ansell @Hayley_Ansell,Literally shouting at the tv then ?? intense stuff ???? #planetearth2
1.1,353,Katy Elle @KatyElleBlake,That baby iguana making it like  #planetearth2
1.1,364,Alex Bond @TheLabAndField,"Oh Buller’s Albatross, you’re so adorable. #planetearth2"
1.1,375,Yvonne'sOldestSon @DaNoirJesus,The celebration in our house when the iguana got away then #PlanetEarth2. That was emotional ya kna
1.1,386,Jordan James @GustavsonJordan,"Watching all of these snakes coming out of the rocks, its just like Uni #planetearth2"
1.1,397,A. @MrJayBreezy,HOW GOOD IS THIS!!! #planetearth2
1.1,408,Alex Buckley @alexbuckleymuch,"Aye lads, anyone seen me bird #planetearth2"
1.1,419,shabby amini ? @shabs0577,Heartbreaking. Where is she? #missingalbatross  #planetearth2
1.1,430,Sarah ?? @SarahJ_Berry,When will my wife return home from the war #planetearth2
1.1,441,Darragh Killeen ?? @dkilleen16,God Dam racer snakes  #planetearth2
1.1,452,Iona Chisholm @IonaChisholm,Watching #planetearth2  is brilliant but watching my sisters reactions are priceless! ?? #shescheering #itstoostressfulforher
1.1,463,x TheMalien x @xTheMalienx,#planetearth2 Thanks God for letting me NOT be an iguana. Pheeeew
1.1,474,Ellie Summers @ellie_summers,Could listen to David Attenborough's voice all day long! #planetearth2
1.1,485,Philippa Brady @PipBBunch,I'm literally traumatised after snakes vs iguanas #planetearth2
1.1,496,Emma Von Cooper @em_cooper,This #planetearth2 is a bit heavy on the emotional blackmail ??????
1.1,507,Karthic @karthic180,Just keep swimming  on #PlanetEarth2 pic.twitter.com/qibVBk0uV3
1.1,518,Ian Young @youngian67,#planetearth2 Who put these motherf**kin snakes on this motherf**kin island?
1.1,529,Emma Duffy @Duffy_Tweets,Okay so I'm making the call that the #planetearth2 snake v. iguanas is the best best chase sequence editing since Mad Max. ?? ??
1.1,552,Deborah Moore @mistywhyte,"Exhausted from showing ""RUN! RUN FASTER!""  #planetearth2"
1.1,563,Oonagh Robinson @OonaghRobinson,Quite fancy this Albatross #planetearth2 #phwoar
1.1,574,Sam Bates @samb8s,Snakes v baby iguanas. Loving #planetearth2 tonight
1.1,585,élliot @elliotrylands,We hate racer snakes. #Planetearth2
1.1,596,Rob @84RHB,Racer snakes are absolutely terrifying.  That looked like some CGI out of a Hollywood movie #planetearth2
1.1,607,jem @Jemserjellyfish,"#planetearth2 is the ultimate Sunday night fear cure, could watch it forever ??????"
1.1,618,Colin Chambers @colchambo,How horrible are them Racer Snakes? #planetearth2
1.1,629,Seán O'Cheafarcaigh @raspberrybeard,That albatross looks like a Chinese bird #planetearth2
1.1,640,Trig @LeeEyre_Walker,Those snakes were bastards #planetearth2
1.1,651,Dave @thedavelock,Albatross fuck buddy #planetearth2
1.1,662,claire bilyard @scarabpictures,"Yey, penguins, that's better. ?? #planetearth2"
1.1,673,NickMickJ @NJBoff,#PlanetEarth2 - Wow! #4KUltraHD can't believe my eyes!
1.1,684,Scott Barron @ScottayB89,Truly incredible filming making. Jaw dropping. Just wow. #planetearth2
1.1,695,Alternative Facts @basaclue,#planetearth2 Newly hatched iguanas being hunted by sinister racer snakes slithering in formation. None of them are wearing poppies. Outrage
1.1,706,Almo @AlmoMitchell,Literally everyone's worst nightmare being chased by an endless stream of snake killers ?? go on baby iguana #planetearth2
1.1,717,Emma Bolam @ejb3012,That baby iguana is the Indiana Jones of the reptile world #planetearth2
1.1,728,mrs wool gatherer @mrswoolgatherer,What a beautiful bird #planetearth2
1.1,751,James @JFenneberg,#planetearth2 Those snakes!  License fee  for the next ten years justified
1.1,762,Carol @CarolaB1,#planetearth2 thinking those racer snakes may give me nightmares.
1.1,773,ChloChlo?? @Chloeg69,Aww penguins with hair ???? #PlanetEarth2
1.1,784,Chris Mc @cmc_gooner66,I used to feel sorry for penguins not flying. Until I learned they live on sex island.  #planetearth2
1.1,795,Al Clifton @al_clifton,"Those snakes, Jesus they are scary! Amazing camera work as well #planetearth2"
1.1,806,Ellie Is In The Soup @ellie_bee42,Peter looks like these penguins. It's the eyebrows #planetearth2
1.1,817,EJ @EJearper,All the snakes on #planetearth2 are going to give me nightmares *shiver*
1.1,828,Chloe Wooldridge @Chloeaw5,"Cried twice already. First time at the Iguana that made it to the top of the rock, now the albertros who hasn't got a mate #planetearth2"
1.1,854,Craig @CraigD92,Why does that bird look like shit CGI? #planetearth2
1.1,865,Shaun William Brown @ShaunBillBrown,Those snakes move like the ghosts from Mario. Don't look away little iguanas! #planetearth2
1.1,876,Emily Bradshaw @Em19Bradshaw93,Filming is incredible #planetearth2 #DavidAttenborough
1.1,887,Madeleine Bevan @MadsBevan,That baby iguana is a champ #planetearth2
1.1,898,Joe Robert Troughton @KarticaJoe,Those beaks are a madness. #planetearth2
1.1,909,Kev Brown @TheKevBrown,This poor albatross lad is well having a stranglewank if his missus doesn't turn up soon #planetearth2
1.1,920,James Hook @JameseHook,Actual photo from the #planetearth2 film shoot. Smile and wave boys. Smile and wave.
1.1,943,Karen Cox @CoxandClan,"Holy f**k that's a shit load of snakes ???? Run iguana, run! #planetearth2"
1.1,954,Claire Downes @IamClaireDownes,OMFG! Racer snakes are THE most terrifying  thing ever. Human babies have it so easy. #planetearth2
1.1,965,Felicity Baker @FelicityAnn_X,Never shouted at a tv as much as I just did watching the snakes go after those lizards!! Who knew lizards moved so quick!! #planetearth2
1.1,976,Amanda @Madge_0,"Those little penguins always look like their up to something. ""Look natural lads"" #planetearth2"
1.1,987,Aiden Gerry @Aiden_Gerry,Don't think any other TV programme would have you cheering for an Iguana like a David Attenbourough programme does #PlanetEarth2
1.1,998,Chris Plumb @Plummie4,Is some of #planetearth2 computer generated? @BBC
1.1,1009,Lewis Marshall @Lewis_Marshall,#planetearth2 just wow
1.1,1020,Alex Gaudiosi @alexgaudiosi,That lizard though.. #planetearth2
1.1,1031,Ritchard Allaway @ritchardallaway,Well #planetearth2 is frigging #beautiful!!! #bbc #Attenborough #bbcwildlife
1.1,1042,Quinn L-S @Quinn_LS,Racing snakes can fuck off... #PlanetEarth2
1.1,1053,Ruth Jenkins @missvenomous,This programme alone is worth my license fee!  #planetearth2
1.1,1064,Sarah Skelding @SarahSkelding,"The marine iguana/racer snake segment was as tense as Aliens- ""They're coming out of the walls!"" #planetearth2"
1.1,1075,Lucy B @lucycbee,in bed at 8pm. Not even #planetearth2 can entice me to stay up #fullofacold # rough
1.1,1086,PipDevon @PipDevon,#planetearth2 It's only just hatched & now it's  got to outrun a gang of snakes!!!!
1.1,1097,Elaine Walton @WinterEWonder,I had no idea albatrosses were so handsome #planetearth2
1.1,1123,Paul Grimshaw @pkgrimmy,That was one lucky iguana! Some start to life on that island...wow! ?? #planetearth2
1.1,1134,Sarah @sbl1976,I thought we going to get a tale of star crossed love between a penguin and an albatross then #planetearth2
1.1,1145,Graham Goulden @Graham_vru,Anyone else hoping for a happy ending #planetearth2 #thelonelyalbatross
1.1,1156,Stephen Murphy @Stephen_Murphy5,I was so invested in that iguana escaping the snakes there!Mind-blowing footage #planetearth2
1.1,1167,Austin Ventour @austinventour,how on earth do they capture this #planetearth2
1.1,1178,Janey Poo @CrowdedScouser,Politics make you want to leave the planet and David Attenborough makes you want to stay.?? #planetearth2
1.1,1215,Craig @Sykesy79,Stop it with the lens flares! ?? #planetearth2
1.1,1226,Rhys @BadGalRhyRhy,That Albatross' contouring is fantastic. What palette you use babe? #planetearth2
1.1,1237,#OneChicago @FassyTREK,I've never screamed like that at the telly before.. So glad the little guy got away #PlanetEarth2
1.1,1248,will pritchard @will_p1995,Big Dave may be the star of the show but the cameramen are the real mvp's #planetearth2
1.1,1259,Helen @HelenCMoxley,That albatross must have a beauty filter on. No one's face is that smooth! #planetearth2
1.1,1270,Alberto Aveiro @Alberto_Aveiro,There was tension in that iguana escape than anything I've seen on TV or film in quite a while. #planetearth2
1.1,1281,David @paddy_de,Well that's my nightmares taken care of for the next decade.  #planetearth2
1.1,1292,Bec Cunningham @milkynosugar,I don't think I am emotionally stable enough to handle this albatross not turning up #PlanetEarth2
1.1,1303,EFC Jo-Jo @EFCjojo,?????? that birds face looks like its fewmin #planetearth2
1.1,1314,Ben @natchplease,"Sneaky snakes setting traps, good bit of pace from that last iguana #planetearth2 @BBCOne"
1.1,1325,Rock On Holly @rockonholly,How do Albatross's perfect that smokey eye? ?? #planetearth2
1.1,1336,Christ's chin @clanc87,"Attenborough : ""The island is full of birds, all there for the breeding season.... "". Me: Ibiza ? #PlanetEarth2 PlanetEarth2"
1.1,1347,Mark Pout @m_pout,#planetearth2 panning shots of racer snake footage spectacular. Hope we see how it was done. Maybe drone footage?
1.1,1358,Sib @ste_sib,She's fucked off on him #planetearth2
1.1,1369,Scott @scottia8,This is amazing  #planetearth2
1.1,1380,Paul Corcoran @paulycorc,.@BBCOne is winning the world tonight. Good work their twitter team...???? #planetearth2
1.1,1391,Fryer @harryfryerr,"""I've had it with these motherfucking snakes, on this motherfucking beach"" #planetearth2"
